"GEOID","county","age_med","hh_income_med","ed_total","higher_ed","race_total","white","other_race","other_race_prop","other_race_min","higher_ed_prop","aging_q"
"01003","Baldwin County, Alabama",44.5,69914,178759,59850,246435,204709,41726,0.169318481546858,0,0.334808317343462,4
"01015","Calhoun County, Alabama",39.4,52819,78478,16568,115788,80477,35311,0.304962517704771,0,0.211116491245954,2
"01043","Cullman County, Alabama",40.7,63229,63473,12787,90665,82050,8615,0.0950201290464898,0,0.20145573708506,3
"01049","DeKalb County, Alabama",39.6,49663,48375,6597,71998,57615,14383,0.199769438039946,0,0.136372093023256,3
"01051","Elmore County, Alabama",38.8,71651,63862,14345,89563,64770,24793,0.276821901901455,0,0.224624972597163,2
"01055","Etowah County, Alabama",42.8,57098,73017,12325,103088,79894,23194,0.224992239639919,0,0.168796307709164,4
"01069","Houston County, Alabama",40.3,56705,74857,18200,108079,70658,37421,0.346237474439993,0,0.243130234981364,3
"01073","Jefferson County, Alabama",38.1,61968,451876,169896,665409,325685,339724,0.510549150973311,1,0.37597925094495,2
"01077","Lauderdale County, Alabama",41.5,59461,65935,16724,95878,80673,15205,0.158586954254365,0,0.253643740047016,3
"01081","Lee County, Alabama",33.7,58549,110729,46888,180773,121889,58884,0.325734484685213,0,0.423448238492175,1
"01083","Limestone County, Alabama",41,84220,78806,26820,110900,84085,26815,0.241794409377818,0,0.340329416541888,3
"01089","Madison County, Alabama",38.8,80123,277522,129594,403565,255122,148443,0.367829222058404,0,0.466968384488437,2
"01095","Marshall County, Alabama",38.2,52678,65546,13334,99423,77289,22134,0.222624543616668,0,0.203429652457816,2
"01097","Mobile County, Alabama",37.9,54300,279710,70944,411411,229044,182367,0.443272056410743,0,0.253634121053949,2
"01101","Montgomery County, Alabama",36.4,57509,150841,54929,226361,69448,156913,0.693198033230106,1,0.364151656379897,1
"01103","Morgan County, Alabama",41.1,62201,85237,21259,124211,93093,31118,0.250525315793287,0,0.249410467285334,3
"01115","St. Clair County, Alabama",41.6,70301,66167,12889,93932,78485,15447,0.16444875015969,0,0.194794988438345,3
"01117","Shelby County, Alabama",40.6,98212,158255,78625,230115,178014,52101,0.226412880516264,0,0.49682474487378,3
"01121","Talladega County, Alabama",41.5,56876,58428,10029,80704,50367,30337,0.375904540047581,0,0.171647155473403,3
"01125","Tuscaloosa County, Alabama",32.7,61097,142968,48496,236780,143552,93228,0.393732578765098,0,0.339208773991383,1
"02020","Anchorage Municipality, Alaska",35.4,100751,192673,73048,287145,165167,121978,0.424795834856954,0,0.379129405780779,1
"02090","Fairbanks North Star Borough, Alaska",31.8,83519,61880,17665,95356,65499,29857,0.313110868744494,0,0.285471881060116,1
"02170","Matanuska-Susitna Borough, Alaska",37,84636,75001,16341,113325,87056,26269,0.231802338407236,0,0.217877094972067,1
"04001","Apache County, Arizona",35.8,37663,41879,5864,65432,12705,52727,0.805828952194645,1,0.140022445617135,1
"04003","Cochise County, Arizona",42.8,55031,89088,24641,125663,74388,51275,0.408035778232256,0,0.276591684626437,4
"04005","Coconino County, Arizona",32.6,62622,87800,36996,144060,80283,63777,0.442711370262391,0,0.421366742596811,1
"04013","Maricopa County, Arizona",37.4,83747,3096494,1118210,4551524,2622765,1928759,0.423761140224681,0,0.361121319789413,2
"04015","Mohave County, Arizona",53,54786,172565,26099,220816,173663,47153,0.213539779726107,0,0.151241561150871,4
"04017","Navajo County, Arizona",39.3,49487,72384,14133,108650,49801,58849,0.541638288080994,1,0.195250331564987,2
"04019","Pima County, Arizona",39.6,64014,721417,267349,1057597,601445,456152,0.431309846756373,0,0.370588716373471,3
"04021","Pinal County, Arizona",39.6,76377,325679,74641,464154,280113,184041,0.396508486407529,0,0.229185793373229,3
"04025","Yavapai County, Arizona",55,63936,193188,55996,246191,199885,46306,0.188089735205592,0,0.289852371782926,4
"04027","Yuma County, Arizona",36.3,53994,135602,22554,207842,75778,132064,0.635405740899337,1,0.166324980457515,1
"05007","Benton County, Arkansas",36.2,85917,201794,77673,302863,182778,120085,0.396499407322783,0,0.384912336343003,1
"05031","Craighead County, Arkansas",34.8,61871,72269,18605,113017,82679,30338,0.268437491704788,0,0.257440949784832,1
"05045","Faulkner County, Arkansas",34.9,62993,80027,23639,127665,102235,25430,0.199193200955626,0,0.295387806615267,1
"05051","Garland County, Arkansas",46,53145,73159,18961,100089,82431,17658,0.176422983544645,0,0.259175221093782,4
"05069","Jefferson County, Arkansas",39.8,44584,44084,9498,64246,24442,39804,0.619556081312455,1,0.215452318301425,3
"05085","Lonoke County, Arkansas",37.7,63766,51112,10804,75225,63146,12079,0.1605716184779,0,0.211378932540304,2
"05119","Pulaski County, Arkansas",37.9,56308,271548,102310,399145,202247,196898,0.493299427526338,0,0.376765801994491,2
"05125","Saline County, Arkansas",40.7,67632,87929,24428,127357,101581,25776,0.202391702065846,0,0.277815055328731,3
"05131","Sebastian County, Arkansas",38,51491,87277,18159,129059,86945,42114,0.326315871035728,0,0.208061688646493,2
"05143","Washington County, Arkansas",32.5,61194,157157,55549,256054,160466,95588,0.373311879525413,0,0.353461824799404,1
"05145","White County, Arkansas",38.2,57015,50973,10681,77755,66500,11255,0.144749533792039,0,0.209542306711396,2
"06001","Alameda County, California",39.4,122159,1179725,630799,1628997,491721,1137276,0.698144932126947,1,0.534700036025345,2
"06007","Butte County, California",36.7,64426,135390,46747,207303,145871,61432,0.296339175023999,0,0.345276608316715,1
"06013","Contra Costa County, California",40.5,120061,811661,366230,1156966,472779,684187,0.591363099693509,1,0.451210542332328,3
"06017","El Dorado County, California",46.1,105982,144290,55466,192646,149628,43018,0.223300769286671,0,0.384406403770185,4
"06019","Fresno County, California",33.4,69571,633325,153012,1015190,332288,682902,0.672683931086792,1,0.241601073698338,1
"06023","Humboldt County, California",40.3,57883,95294,31044,135010,97894,37116,0.274912969409673,0,0.325770772556509,3
"06025","Imperial County, California",33.2,57310,111134,18617,178713,31944,146769,0.82125530879119,1,0.167518491190815,1
"06029","Kern County, California",32.5,66234,562332,107077,916108,402044,514064,0.561139079671829,1,0.19041598201774,1
"06031","Kings County, California",31.9,64368,95511,15220,152981,56039,96942,0.633686536236526,1,0.159353372909927,1
"06033","Lake County, California",45.3,51259,49755,9264,68191,46872,21319,0.312636564942588,0,0.186192342478143,4
"06037","Los Angeles County, California",38.2,82516,6845803,2440180,9721138,2857095,6864043,0.706094595097817,1,0.356449053529586,2
"06039","Madera County, California",35.2,76920,100864,21573,160256,57165,103091,0.643289486821086,1,0.213882059010152,1
"06041","Marin County, California",47.9,136214,191896,120127,256018,176130,79888,0.31204055964815,0,0.626000541960228,4
"06045","Mendocino County, California",43.7,65520,65421,16164,89783,58834,30949,0.344708909258991,0,0.24707662677122,4
"06047","Merced County, California",31.9,66164,174432,28290,290014,91224,198790,0.685449667947065,1,0.162183544303797,1
"06053","Monterey County, California",35.8,92840,278754,76760,432858,139376,293482,0.678009878528293,1,0.275368245836831,1
"06055","Napa County, California",43.1,100318,96760,38618,134300,71514,62786,0.467505584512286,0,0.399111202976437,4
"06057","Nevada County, California",50.2,78401,79647,31286,102293,86636,15657,0.153060326708572,0,0.392808266475825,4
"06059","Orange County, California",39.5,106209,2204111,964122,3151184,1332294,1818890,0.577208439748361,1,0.437419894007153,2
"06061","Placer County, California",42.8,105445,296525,123392,417772,287061,130711,0.312876401482148,0,0.41612680212461,4
"06065","Riverside County, California",36.8,86748,1640068,409850,2473902,900330,1573572,0.636068849938276,1,0.249898174953721,1
"06067","Sacramento County, California",37.3,84211,1089547,368064,1584169,693068,891101,0.562503748021834,1,0.337813788666299,2
"06069","San Benito County, California",35.7,111544,44072,11855,67579,21419,46160,0.683052427529262,1,0.268991650027228,1
"06071","San Bernardino County, California",34.4,79091,1412051,324956,2193656,682003,1511653,0.689102119931293,1,0.230130498119402,1
"06073","San Diego County, California",37.3,98928,2268126,975935,3276208,1557995,1718213,0.524451744211601,1,0.430282532804615,2
"06075","San Francisco County, California",40.4,136692,644349,395589,808437,315764,492673,0.60941421533156,1,0.613935926027665,3
"06077","San Joaquin County, California",35.2,86056,509375,116879,793229,250032,543197,0.684792159641163,1,0.229455705521472,1
"06079","San Luis Obispo County, California",41.1,90216,190875,78677,282013,195388,86625,0.307166690897228,0,0.412191224623445,3
"06081","San Mateo County, California",41.4,145388,536358,290134,729181,277989,451192,0.618765436839413,1,0.540933480995902,3
"06083","Santa Barbara County, California",34.7,90894,278594,103392,443837,219981,223856,0.504365341330263,1,0.37112069893824,1
"06085","Santa Clara County, California",38.3,150839,1326338,752387,1870945,554544,1316401,0.703602190336969,1,0.567266413237048,2
"06087","Santa Cruz County, California",39.5,102146,178131,76707,264370,153407,110963,0.419726141392745,0,0.430621284335686,2
"06089","Shasta County, California",42,68276,128563,30566,180930,142425,38505,0.212817111590118,0,0.237751141463718,4
"06095","Solano County, California",39.1,92959,312815,89226,448747,176374,272373,0.60696338917029,1,0.285235682432108,2
"06097","Sonoma County, California",43.2,96830,353683,135480,482650,296506,186144,0.385670775924583,0,0.383054882479508,4
"06099","Stanislaus County, California",34.8,75886,351940,66212,551275,228788,322487,0.584983900956873,1,0.188134341080866,1
"06101","Sutter County, California",38.4,65018,65284,14322,98503,44003,54500,0.553282641137833,1,0.21937993995466,2
"06103","Tehama County, California",40.9,58884,43603,7287,65245,43426,21819,0.334416430377807,0,0.167121528335206,3
"06107","Tulare County, California",31.9,64722,286363,46243,477544,175037,302507,0.633464141524132,1,0.161483850916494,1
"06111","Ventura County, California",39.8,102569,577637,220554,832605,430062,402543,0.483474156412705,0,0.381821109104853,3
"06113","Yolo County, California",32,83875,131004,54396,222115,105975,116140,0.522882290705265,1,0.415223962627095,1
"06115","Yuba County, California",34.5,65052,54062,10339,84310,45469,38841,0.46069268176966,0,0.191243387222078,1
"08001","Adams County, Colorado",34.9,91367,348368,100251,527575,286721,240854,0.45653035113491,0,0.287773274238736,1
"08005","Arapahoe County, Colorado",37.6,93784,455475,211627,655808,392030,263778,0.402218332194789,0,0.464629233218069,2
"08013","Boulder County, Colorado",37.2,96079,218841,138260,327468,256163,71305,0.217746466830347,0,0.631782892602392,2
"08014","Broomfield County, Colorado",38.9,115833,54347,31437,76121,57467,18654,0.245057211544777,0,0.578449592433805,2
"08031","Denver County, Colorado",35.1,88213,525770,299969,713252,426365,286887,0.402223898425802,0,0.570532742453925,1
"08035","Douglas County, Colorado",39.7,140003,258961,160303,375988,302901,73087,0.194386522974137,0,0.619023713995544,3
"08041","El Paso County, Colorado",35.2,82389,492193,209103,740567,520563,220004,0.29707507895977,0,0.424839443064001,1
"08059","Jefferson County, Colorado",40.8,102731,427324,221962,576143,455303,120840,0.209739595898935,0,0.519423201130758,3
"08069","Larimer County, Colorado",37,88403,248105,131335,366778,302614,64164,0.17493960924592,0,0.529352491888515,1
"08077","Mesa County, Colorado",41.6,70711,112203,35928,158636,127802,30834,0.194369499987393,0,0.320205342103152,3
"08101","Pueblo County, Colorado",39.6,58723,118695,28268,169544,115964,53580,0.316024158920398,0,0.238156619908168,3
"08123","Weld County, Colorado",35.3,91565,229780,79561,350176,250089,100087,0.285819130951293,0,0.346248585603621,1
"09110","Capitol Planning Region, Connecticut",39.7,84504,679146,283366,981447,622316,359131,0.365919912129743,0,0.417238708613465,3
"09120","Greater Bridgeport Planning Region, Connecticut",40.3,81143,223546,91407,327286,192292,134994,0.412464938921921,0,0.40889570826586,3
"09130","Lower Connecticut River Valley Planning Region, Connecticut",45.7,99438,130786,60356,176622,141905,34717,0.196561017313811,0,0.46148670346979,4
"09140","Naugatuck Valley Planning Region, Connecticut",41.1,81925,324089,101448,454083,283977,170106,0.37461433262201,0,0.313025125814205,3
"09150","Northeastern Connecticut Planning Region, Connecticut",42,80701,70041,17849,96196,80667,15529,0.161430828724687,0,0.25483645293471,4
"09160","Northwest Hills Planning Region, Connecticut",46.6,86555,85469,34971,113234,88935,24299,0.214591023897416,0,0.409165896406884,4
"09170","South Central Connecticut Planning Region, Connecticut",39.6,85026,398001,162791,573244,355226,218018,0.380323213151817,0,0.409021585372901,3
"09180","Southeastern Connecticut Planning Region, Connecticut",42,80113,198620,71826,280403,214205,66198,0.236081639640089,0,0.361625213976437,4
"09190","Western Connecticut Planning Region, Connecticut",41.3,122234,435490,242390,623690,378332,245358,0.39339736086838,0,0.556591425750304,3
"10001","Kent County, Delaware",37.7,72675,126667,31989,186946,107944,79002,0.422592620328865,0,0.252544072252441,2
"10003","New Castle County, Delaware",39.8,86020,401443,161283,575494,312528,262966,0.456939603193083,0,0.40175815744701,3
